X,Y,fid,id,Plan Info,icon_url
6.46044956673511,60.3741043822638,1,,1x25mm,./0.png
6.46217069821842,60.3753951845162,2,,1x25mm,./0.png
6.50240828898505,60.3820093186989,3,,1x8mm,./0.png
6.50231974508927,60.3821574913393,4,,Skap,./0.png
6.50009560161075,60.3834157501359,5,,2x40mm,./0.png
6.49872015297441,60.3845850546804,6,,Skap 25cm,./0.png
6.49844005690377,60.3848208491312,7,,1x8mm,./0.png
6.49820929667765,60.3848136420949,8,,1x8mm,./0.png
6.49883621795053,60.3846704560401,9,,2x8mm,./0.png
6.5141360432633,60.4101921298399,10,,3x8mm,./0.png
6.5130918236806,60.4098875267758,11,,11x8mm\n2x16mm,./0.png
6.51459598483403,60.4102010868503,12,,1x8mm,./0.png
6.51344274225292,60.4099213496042,13,,1x8mm,./0.png
6.51323277477912,60.4100694610088,14,,1x8mm,./0.png
6.51341248249597,60.4103010403798,15,,1x8mm,./0.png
6.51359051771573,60.4105016022153,16,,1x8mm,./0.png
6.51379912785061,60.4103230203393,17,,1x8mm,./0.png
6.51556473720262,60.4104379513809,18,,1x8mm,./0.png
6.51757015990922,60.4110917651775,19,,1x8mm,./0.png
6.51282776418373,60.4097335079779,20,,Skap,./0.png
6.43519446826163,60.3692833678441,21,,Kveileramme,./0.png
6.4333238546013,60.3691035570165,22,,Kveileramme,./0.png
6.4361932894864,60.3686679306552,23,,1x40mm,./0.png
6.43616562596205,60.3686905323721,24,,Skap,./0.png
6.51387390744459,60.4105186785241,25,,1x8mm,./0.png
6.51388139547083,60.4104397170159,26,,1x8mm,./0.png
6.54281202544202,60.4223400907493,27,,2x40mm,./0.png
6.54338860226744,60.4225505905224,28,,Skap,./0.png
6.54602738043193,60.4238608489623,29,,1x8mm,./0.png
6.54595852495373,60.4237225402492,30,,1x8mm,./0.png
6.54612192257296,60.4237921514399,31,,1x8mm,./0.png
6.54549347289507,60.4234049071263,32,,1x8mm,./0.png
6.54600139328951,60.4237830155853,33,,Skap,./0.png
6.54550624425545,60.4233434430528,34,,Skap,./0.png
6.54757160831803,60.4229873462335,35,,1x40mm,./0.png
6.55003897585224,60.4265317387526,36,,Skap,./0.png
6.54977813355345,60.4266676697454,37,,1x8mm,./0.png
6.55011182473149,60.4266615791218,38,,1x8mm,./0.png
6.54705310108302,60.4232637957572,39,,Skap,./0.png
6.50148997939381,60.3881039743694,40,,Skap,./0.png
6.50109204372058,60.3880989164848,41,,1x8mm,./0.png
6.50133127951241,60.3883006155515,42,,2x8mm,./0.png
6.50218248475805,60.3881099209074,43,,1x8mm,./0.png
6.50201666042122,60.3888954534831,44,,1x8mm,./0.png
6.500980398008,60.3885035126228,45,,2x8mm,./0.png
6.50191056219077,60.3887328904285,46,,1x8mm,./0.png
6.50028650964042,60.3893568585516,47,,1x8mm,./0.png
6.50049791068202,60.3894753251467,48,,1x8mm,./0.png
6.50378522273492,60.395893374054,49,,1x25mm,./0.png
6.50236207639286,60.3946776593489,50,,1x25mm,./0.png
6.50198469110298,60.393786329746,51,,1x8mm,./0.png
6.50329912727274,60.3970953976716,52,,Skap,./0.png
6.50537523129047,60.3968211525654,53,,Skap,./0.png
6.50444308195232,60.3967368805783,54,,1x25mm,./0.png
6.50427306882174,60.3968670646225,55,,1x25mm,./0.png
6.50341768094144,60.3971640371988,56,,1x8mm,./0.png
6.50459295190074,60.3970027169765,57,,1x8mm,./0.png
6.50377958598767,60.3973162762903,58,,Skal ikkje ha fiber her,./0.png
6.50517628552908,60.3988841171424,59,,1x25mm,./0.png
6.5056131684377,60.3991357439685,60,,Skap,./0.png
6.51173804637769,60.4076515431193,61,,1x25mm,./0.png
6.51181365193648,60.4068009120674,62,,Skap,./0.png
6.51769960261349,60.4109116438304,63,,Skap,./0.png
6.5155396990887,60.4105040634188,64,,2x16mm\n1x8mm,./0.png
6.51905114370314,60.4112609416961,65,,2x40mm,./0.png
6.52520096557295,60.4140469635219,66,,1x8mm,./0.png
6.52817843446452,60.415201694594,67,,Skap,./0.png
6.5263125732398,60.4149233225291,68,,1x8mm,./0.png
6.5261654842916,60.4149567501427,69,,2x16mm\n1x8mm,./0.png
6.52674621357047,60.4146891378574,70,,2x16mm,./0.png
6.52773764249456,60.4147585259842,71,,2x16nn\n1x8mm,./0.png
6.52804095442048,60.4151727952711,72,,2x16mm\n3x8mm,./0.png
6.52790138726881,60.415073142744,73,,1x8mm,./0.png
6.52780403739955,60.4151505936696,74,,1x8mm,./0.png
6.52867926525264,60.415332833641,75,,2x8mm,./0.png
6.52928355126882,60.4151821117013,76,,1x8mm,./0.png
6.52999079991326,60.4156606823802,77,,1x8mm,./0.png
6.52798541381968,60.4146562979253,78,,1x8mm,./0.png
6.53744072383672,60.418035220621,79,,Skap,./0.png
6.53724497886113,60.4179414775001,80,,1x25mm,./0.png
6.53946822849479,60.4200629126714,81,,1x25mm,./0.png
6.54414486299128,60.4249578421677,82,,1x25mm,./0.png
6.54402172349588,60.4249133967682,83,,1x25mm,./0.png
6.55059079911157,60.4268819543051,84,,1x8mm\n1x25mm,./0.png
6.55026358028178,60.4266991944633,85,,1x25mm,./0.png
6.55006216231727,60.4265793541172,86,,Klamre vannrør til fjell 63mm røyr,./0.png
6.5510540973242,60.4269281135823,87,,Skal ikkje ha fiber her,./0.png
6.55579820586856,60.4293459700765,88,,Skap,./0.png
6.55569327885226,60.4301041070377,89,,1x25mm,./0.png
6.55606037925308,60.4295920973549,90,,Her kan og graves men veldig vanskelig,./0.png
6.55825109883795,60.4323096189228,91,,Skap,./0.png
6.56112510167275,60.4331179283167,92,,Skap,./0.png
6.55874380050864,60.4321069669353,93,,1x25mm,./0.png
6.55848556588766,60.4321784044155,94,,Kabling via bygg,./0.png
6.56185918638808,60.433356932118,95,,1x25mm,./0.png
6.56342787064996,60.4333547309107,96,,Skap,./0.png
6.45934587199959,60.3734029546265,97,,2x40mm,./0.png
6.50062064559747,60.3846341703119,98,,2x40mm,./0.png
6.52809993177413,60.415332834752,99,,?,./0.png
6.53723817167233,60.4170473118304,100,,2x40mm,./0.png
6.56046384843693,60.4330208322669,101,,1x25mm,./0.png
6.56118200551467,60.4330148485855,102,,1x8mm,./0.png
6.5605948094249,60.433747068785,103,,2x25mm,./0.png
6.56263306971634,60.432686681363,104,,2x40mm,./0.png
6.56351933064148,60.4326880804741,105,,2x40mm,./0.png
6.56324957688729,60.4334585426677,106,,1x25mm,./0.png
